"","UID","school","eduction_level","education_type","job_title","No_Year_Wor_Experience","YearsWork","work_location","tuition","Blockchain","Cloud_computing","Analytical_reasoning","Artificial_Intelligence","UX_design","Business_analysis","Affiliate_marketing","Sales","Scientific_computing","Video_production","Persuasion","Collaboration","Adaptability","Emotional_Intelligence","Microsoft_Office","Microsoft_Excel","Visual_Basic","Python","R","SQL","Java","Public_Speaking","Cert_Amazon_Web_Services_Essential_Training","Cert_Scrum_Basics","Cert_Time_Management_Fundamentals","Cert_Online_Marketing_Foundations","Cert_Project_Management_Foundations","Cert_Body_Language_for_Leaders","Cert_Excel_Essential_Training","Cert_AWS_Certified_Advanced_Networking","Cert_Programming_Foundations","Cert_Project_Management_Professional","Cert_Git_Essential_Training","Cert_Microsoft_Certified__Azure_Fundamentals","Cert_Developing_Executive_Presence","Cert_Online_Marketing_Foundations.1","Cert_Strategic_Thinking","Count","Mergecol","title","Location","numbersofjob","jobgrowth","salary","salarygrowth"
"1026",1026,"Carleton University","Bachelor's","Precision production","Senior Gameplay Engineer",7,"7 years","Saskatchewan",50000,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,"Senior Gameplay Engineer Saskatchewan","Senior Gameplay Engineer","Saskatchewan",67700,15.24,129175,-3.24
"1027",1027,"Vancouver Institute of Media Arts","Master's","Precision production","iOS Engineer",10,"10 years","Saskatchewan",71500,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,"iOS Engineer Saskatchewan","iOS Engineer","Saskatchewan",27900,8.2,118225,11.72
"1028",1028,"University de Sherbrooke","Doctoral","Family and consumer Sciences","Applied Scientist",1,"1 years","Northwest Territories",42000,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,"Applied Scientist Northwest Territories","Applied Scientist","Northwest Territories",22900,1.16,49150,12.6
"1029",1029,"University of Waterloo","Master's","Aboriginal and foreign languages, literatures and linguistics","iOS Engineer",5,"5 years","Ontario",61000,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"iOS Engineer Ontario","iOS Engineer","Ontario",62700,3.8,88450,5.56
"1030",1030,"University of Windsor","Master's","Biological and biomedical Sciences","iOS Engineer",5,"5 years","Nova Scotia",34000,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,"iOS Engineer Nova Scotia","iOS Engineer","Nova Scotia",29700,1.16,75175,12.6
"1031",1031,"University of Guelph","Doctoral","Mathematics and statistics","Senior Gameplay Engineer",4,"4 years","Northwest Territories",45000,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,"Senior Gameplay Engineer Northwest Territories","Senior Gameplay Engineer","Northwest Territories",47100,-1.48,118000,13.48
"1032",1032,"Vancouver Island University","Master's","Social Sciences","Senior Full Stack Developer",9,"9 years","Ontario",40500,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,"Senior Full Stack Developer Ontario","Senior Full Stack Developer","Ontario",65900,1.16,78100,-0.6
"1033",1033,"Huron University College","Associate","Public administration and social service professions","Data Engineer - Devices Central Engagement",5,"5 years","Prince Edward Island",51500,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,"Data Engineer - Devices Central Engagement Prince Edward Island","Data Engineer - Devices Central Engagement","Prince Edward Island",31900,17,68275,4.68
"1034",1034,"University of Western Ontario","Master's","Science technologies/technicians","IOT Software Development Engineer",9,"9 years","Nunavut",30500,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,"IOT Software Development Engineer Nunavut","IOT Software Development Engineer","Nunavut",87100,-3.24,103450,18.76
"1035",1035,"University de Guelph, Campus d'Alfred","Master's","Liberal arts and sciences, general studies and humanities","Director of Engineering",5,"5 years","Yukon",39000,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,"Director of Engineering Yukon","Director of Engineering","Yukon",16700,17.88,140125,-2.36
"1036",1036,"University de Sherbrooke","Master's","Computer and information Sciences and support services","Machine Learning Engineer",8,"8 years","Newfoundland and Labrador",48000,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,"Machine Learning Engineer Newfoundland and Labrador","Machine Learning Engineer","Newfoundland and Labrador",65100,13.48,130225,3.8
"1037",1037,"Cygep de Saint-Laurent","Master's","Visual and performing arts","Prototyping Data Engineer",4,"4 years","Nunavut",78500,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,"Prototyping Data Engineer Nunavut","Prototyping Data Engineer","Nunavut",9900,-1.48,71950,19.64
"1038",1038,"New Brunswick Bible Institute","Bachelor's","Social Sciences","Mobile Software Development",9,"9 years","British Columbia",65000,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,"Mobile Software Development British Columbia","Mobile Software Development","British Columbia",90500,-0.6,137350,5.56
"1039",1039,"University of Guelph","Associate","Psychology","Integration Engineer, Developer Relations",1,"1 years","Quebec",54000,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,"Integration Engineer, Developer Relations Quebec","Integration Engineer, Developer Relations","Quebec",78500,5.56,76375,5.56
"1040",1040,"Dalhousie University","Master's","Family and consumer Sciences","Game Network Engineer",6,"6 years","Quebec",56500,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,"Game Network Engineer Quebec","Game Network Engineer","Quebec",32100,7.32,40225,-3.24
"1041",1041,"Cygep de la Gaspysie et des Îles","Doctoral","Engineering technologies and engineering-related fields","Deep Learning Workload Optimization Engineer",1,"1 years","Ontario",78500,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,"Deep Learning Workload Optimization Engineer Ontario","Deep Learning Workload Optimization Engineer","Ontario",6700,10.84,79300,18.76
"1042",1042,"University of Windsor","Bachelor's","Multidisciplinary/interdisciplinary studies","Senior Full Stack Developer",2,"2 years","Ontario",28500,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,"Senior Full Stack Developer Ontario","Senior Full Stack Developer","Ontario",65900,1.16,78100,-0.6
"1043",1043,"Victoria University","Master's","Parks, recreation, leisure and fitness studies","Programmer Analyst",7,"7 years","Nunavut",46500,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,"Programmer Analyst Nunavut","Programmer Analyst","Nunavut",60300,7.32,56125,-0.6
"1044",1044,"Vancouver Island University","Doctoral","Computer and information Sciences and support services","Game Engineer - AI",8,"8 years","Prince Edward Island",39500,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,"Game Engineer - AI Prince Edward Island","Game Engineer - AI","Prince Edward Island",62100,16.12,45775,9.96
"1045",1045,"University of Alberta","Master's","Engineering technologies and engineering-related fields","Integration Engineer, Developer Relations",5,"5 years","Nova Scotia",78500,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,"Integration Engineer, Developer Relations Nova Scotia","Integration Engineer, Developer Relations","Nova Scotia",50900,17.88,93775,-4.12
"1046",1046,"Cygep de Saint-Laurent","Master's","Engineering","Games UI Engineer",10,"10 years","Quebec",61500,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,"Games UI Engineer Quebec","Games UI Engineer","Quebec",83900,-3.24,50050,-4.12
"1047",1047,"University of Western Ontario","Bachelor's","Science technologies/technicians","Games UI Engineer",1,"1 years","Ontario",44000,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,"Games UI Engineer Ontario","Games UI Engineer","Ontario",83100,8.2,85450,18.76
"1048",1048,"Native Education College","Bachelor's","Communications technologies/technicians and support services","Deep Learning Backend Engine Software Developer",4,"4 years","New Brunswick",41000,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,"Deep Learning Backend Engine Software Developer New Brunswick","Deep Learning Backend Engine Software Developer","New Brunswick",89700,18.76,94225,11.72
"1049",1049,"Brock University","Master's","Architecture and related services","Senior Full Stack Developer",4,"4 years","Alberta",39500,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,"Senior Full Stack Developer Alberta","Senior Full Stack Developer","Alberta",93900,-4.12,146050,4.68
"1050",1050,"Brock University","Associate","Construction trades","Cloud Software Development Engineer",3,"3 years","New Brunswick",54000,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,"Cloud Software Development Engineer New Brunswick","Cloud Software Development Engineer","New Brunswick",28300,8.2,90475,0.28
"1051",1051,"Brock University","Associate","Visual and performing arts","Robotics Mechatronic Engineer",1,"1 years","Manitoba",43000,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,"Robotics Mechatronic Engineer Manitoba","Robotics Mechatronic Engineer","Manitoba",78900,6.44,84100,18.76
"1052",1052,"Native Education College","Doctoral","Communications technologies/technicians and support services","Mobile Software Development",3,"3 years","Newfoundland and Labrador",65000,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,"Mobile Software Development Newfoundland and Labrador","Mobile Software Development","Newfoundland and Labrador",80300,2.92,65875,8.2
"1053",1053,"Brescia University College","Associate","Computer and information Sciences and support services","Mobile Software Development",8,"8 years","Manitoba",20000,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,"Mobile Software Development Manitoba","Mobile Software Development","Manitoba",75700,11.72,133825,19.64
"1054",1054,"Dalhousie University","Associate","Natural resources and conservation","Senior Gameplay Engineer",2,"2 years","Nova Scotia",55500,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,"Senior Gameplay Engineer Nova Scotia","Senior Gameplay Engineer","Nova Scotia",17100,10.84,119275,13.48
"1055",1055,"Native Education College","Master's","Public administration and social service professions","Information Security Engineer",10,"10 years","Nunavut",32500,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,"Information Security Engineer Nunavut","Information Security Engineer","Nunavut",10700,18.76,145675,14.36
"1056",1056,"Cygep de la Gaspysie et des Îles","Master's","Health professions and related programs","Game Engineer - AI",6,"6 years","Prince Edward Island",22500,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,"Game Engineer - AI Prince Edward Island","Game Engineer - AI","Prince Edward Island",62100,16.12,45775,9.96
"1057",1057,"Native Education College","Master's","Natural resources and conservation","Quality Assurance Engineer",5,"5 years","Nova Scotia",22500,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,"Quality Assurance Engineer Nova Scotia","Quality Assurance Engineer","Nova Scotia",42300,16.12,71725,2.04
"1058",1058,"Concordia University","Master's","Construction trades","Cloud Software Development Engineer",5,"5 years","Alberta",71000,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,"Cloud Software Development Engineer Alberta","Cloud Software Development Engineer","Alberta",46100,9.08,50200,9.96
"1059",1059,"York University","Doctoral","Business, management, marketing and related support services","Programmer Analyst",4,"4 years","Nunavut",75500,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,"Programmer Analyst Nunavut","Programmer Analyst","Nunavut",60300,7.32,56125,-0.6
"1060",1060,"College of the New Caledonia","Master's","Mathematics and statistics","Game Network Engineer",5,"5 years","Prince Edward Island",25000,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,"Game Network Engineer Prince Edward Island","Game Network Engineer","Prince Edward Island",21100,7.32,90025,-5
"1061",1061,"Queen's University","Master's","Computer and information Sciences and support services","Integration Engineer, Developer Relations",2,"2 years","Newfoundland and Labrador",66500,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,"Integration Engineer, Developer Relations Newfoundland and Labrador","Integration Engineer, Developer Relations","Newfoundland and Labrador",98500,0.28,105100,12.6
"1062",1062,"Cygep de Saint-Hyacinthe","Associate","Education","Deep Learning Workload Optimization Engineer",4,"4 years","Newfoundland and Labrador",66000,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,"Deep Learning Workload Optimization Engineer Newfoundland and Labrador","Deep Learning Workload Optimization Engineer","Newfoundland and Labrador",95700,15.24,45325,-0.6
"1063",1063,"University of Guelph","Bachelor's","Architecture and related services","Senior Gameplay Engineer",7,"7 years","Northwest Territories",43000,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,"Senior Gameplay Engineer Northwest Territories","Senior Gameplay Engineer","Northwest Territories",47100,-1.48,118000,13.48
"1064",1064,"University of Guelph","Master's","Construction trades","Director of Engineering",6,"6 years","Quebec",48000,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,"Director of Engineering Quebec","Director of Engineering","Quebec",45900,-3.24,53200,5.56
"1065",1065,"University of Western Ontario","Master's","Mechanic and repair technologies/technicians","Data Engineer, Natural Language Processing (NLP)",8,"8 years","New Brunswick",41000,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,"Data Engineer, Natural Language Processing (NLP) New Brunswick","Data Engineer, Natural Language Processing (NLP)","New Brunswick",90500,8.2,72175,6.44
"1066",1066,"Ryerson University","Master's","Multidisciplinary/interdisciplinary studies","Applied Scientist",3,"3 years","Northwest Territories",57500,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,"Applied Scientist Northwest Territories","Applied Scientist","Northwest Territories",22900,1.16,49150,12.6
"1067",1067,"University of Waterloo","Bachelor's","Security and protective services","Linux Platform Software Engineer",1,"1 years","Quebec",35500,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,"Linux Platform Software Engineer Quebec","Linux Platform Software Engineer","Quebec",78900,17.88,149950,17.88
"1068",1068,"Niagara College","Associate","Precision production","Deep Learning Workload Optimization Engineer",9,"9 years","Yukon",63500,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,"Deep Learning Workload Optimization Engineer Yukon","Deep Learning Workload Optimization Engineer","Yukon",28700,-3.24,52150,2.92
"1069",1069,"McMaster University","Associate","Liberal arts and sciences, general studies and humanities","Games UI Engineer",4,"4 years","New Brunswick",76000,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,"Games UI Engineer New Brunswick","Games UI Engineer","New Brunswick",55500,19.64,79750,11.72
"1070",1070,"Brescia University College","Doctoral","Construction trades","Deep Learning Backend Engine Developer",8,"8 years","Nova Scotia",56000,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,"Deep Learning Backend Engine Developer Nova Scotia","Deep Learning Backend Engine Developer","Nova Scotia",27500,17,106900,10.84
"1071",1071,"University de Montryal","Doctoral","Area, ethnic, cultural, gender, and group studies","Senior Gameplay Engineer",2,"2 years","Ontario",78500,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,"Senior Gameplay Engineer Ontario","Senior Gameplay Engineer","Ontario",43100,14.36,128950,13.48
"1072",1072,"Dalhousie University","Master's","Legal professions and studies","Deep Learning Backend Engine Software Developer",8,"8 years","Nunavut",59000,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,"Deep Learning Backend Engine Software Developer Nunavut","Deep Learning Backend Engine Software Developer","Nunavut",55500,13.48,64600,18.76
"1073",1073,"McMaster University","Master's","Dental, medical and veterinary residency programs","Integration Engineer, Developer Relations",1,"1 years","Northwest Territories",48000,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,"Integration Engineer, Developer Relations Northwest Territories","Integration Engineer, Developer Relations","Northwest Territories",91300,7.32,110950,2.04
"1074",1074,"New Brunswick Bible Institute","Master's","Family and consumer Sciences","Senior Full Stack Developer",4,"4 years","British Columbia",62000,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,"Senior Full Stack Developer British Columbia","Senior Full Stack Developer","British Columbia",86300,9.08,136150,17
"1075",1075,"Vancouver Island University","Master's","Social Sciences","Programmer Analyst",10,"10 years","Nunavut",31500,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,"Programmer Analyst Nunavut","Programmer Analyst","Nunavut",60300,7.32,56125,-0.6
"1076",1076,"Brock University","Bachelor's","Multidisciplinary/interdisciplinary studies","Applied Scientist",10,"10 years","Alberta",64000,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,"Applied Scientist Alberta","Applied Scientist","Alberta",30700,18.76,124375,5.56
"1077",1077,"Native Education College","Doctoral","Mechanic and repair technologies/technicians","Information Security Engineer",2,"2 years","Alberta",33500,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,"Information Security Engineer Alberta","Information Security Engineer","Alberta",69300,8.2,102325,3.8
"1078",1078,"Dalhousie University","Associate","Dental, medical and veterinary residency programs","Information Security Engineer",2,"2 years","Ontario",40000,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,"Information Security Engineer Ontario","Information Security Engineer","Ontario",99500,10.84,51400,11.72
"1079",1079,"McMaster University","Doctoral","Precision production","Cloud Software Development Engineer",7,"7 years","Saskatchewan",76000,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,"Cloud Software Development Engineer Saskatchewan","Cloud Software Development Engineer","Saskatchewan",79100,17,142750,13.48
"1080",1080,"Simon Fraser University","Master's","History","Robotics Mechatronic Engineer",4,"4 years","Nova Scotia",34000,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,"Robotics Mechatronic Engineer Nova Scotia","Robotics Mechatronic Engineer","Nova Scotia",95500,-0.6,140950,19.64
"1081",1081,"University du Quybec à Rimouski (UQAR)","Bachelor's","Philosophy and religious studies","Data Engineer, Natural Language Processing (NLP)",3,"3 years","Ontario",65500,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,"Data Engineer, Natural Language Processing (NLP) Ontario","Data Engineer, Natural Language Processing (NLP)","Ontario",70100,3.8,89125,0.28
"1082",1082,"University of Western Ontario","Bachelor's","Personal and culinary services","Game Engineer - AI",8,"8 years","Newfoundland and Labrador",33500,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,"Game Engineer - AI Newfoundland and Labrador","Game Engineer - AI","Newfoundland and Labrador",34500,-3.24,93250,8.2
"1083",1083,"Vancouver Island University","Bachelor's","English language and literature/letters","Deep Learning Workload Optimization Engineer",5,"5 years","British Columbia",59000,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,"Deep Learning Workload Optimization Engineer British Columbia","Deep Learning Workload Optimization Engineer","British Columbia",83500,10.84,116500,17
"1084",1084,"Huron University College","Bachelor's","Security and protective services","Deep Learning Backend Engine Software Developer",8,"8 years","Manitoba",53500,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,"Deep Learning Backend Engine Software Developer Manitoba","Deep Learning Backend Engine Software Developer","Manitoba",64900,16.12,98275,12.6
"1085",1085,"University of Waterloo","Bachelor's","Mathematics and statistics","Data Engineer, Natural Language Processing (NLP)",6,"6 years","Yukon",63000,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,"Data Engineer, Natural Language Processing (NLP) Yukon","Data Engineer, Natural Language Processing (NLP)","Yukon",40500,9.08,90325,10.84
"1086",1086,"New Brunswick Bible Institute","Master's","English language and literature/letters","Applied Scientist",8,"8 years","New Brunswick",28500,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,"Applied Scientist New Brunswick","Applied Scientist","New Brunswick",44900,15.24,59875,11.72
"1087",1087,"College of the New Caledonia","Associate","Parks, recreation, leisure and fitness studies","Games UI Engineer",5,"5 years","Nunavut",59500,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,"Games UI Engineer Nunavut","Games UI Engineer","Nunavut",78300,7.32,52825,6.44
"1088",1088,"Cygep de la Gaspysie et des Îles","Master's","Architecture and related services","Data Engineer, Natural Language Processing (NLP)",4,"4 years","Ontario",41000,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,"Data Engineer, Natural Language Processing (NLP) Ontario","Data Engineer, Natural Language Processing (NLP)","Ontario",70100,3.8,89125,0.28
"1089",1089,"University of Western Ontario","Doctoral","Social Sciences","Director of Engineering",5,"5 years","Nunavut",67500,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,"Director of Engineering Nunavut","Director of Engineering","Nunavut",98900,13.48,127150,-1.48
"1090",1090,"HEC Montryal","Doctoral","Health professions and related programs","Cloud Software Development Engineer",10,"10 years","Nunavut",54000,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,"Cloud Software Development Engineer Nunavut","Cloud Software Development Engineer","Nunavut",21900,11.72,139150,10.84
"1091",1091,"Cygep de la Gaspysie et des Îles","Bachelor's","Mechanic and repair technologies/technicians","Machine Learning Engineer",3,"3 years","British Columbia",74500,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,"Machine Learning Engineer British Columbia","Machine Learning Engineer","British Columbia",37700,-1.48,149200,17
"1092",1092,"University of Alberta","Master's","Science technologies/technicians","Linux Platform Software Engineer",6,"6 years","New Brunswick",72000,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,"Linux Platform Software Engineer New Brunswick","Linux Platform Software Engineer","New Brunswick",54300,-2.36,145900,16.12
"1093",1093,"University of Toronto","Associate","Engineering","Cloud Software Development Engineer",6,"6 years","Northwest Territories",50500,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,"Cloud Software Development Engineer Northwest Territories","Cloud Software Development Engineer","Northwest Territories",76300,-0.6,94525,2.92
"1094",1094,"University of Toronto","Associate","Psychology","Senior Full Stack Developer",9,"9 years","Manitoba",76500,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,"Senior Full Stack Developer Manitoba","Senior Full Stack Developer","Manitoba",15100,-1.48,56800,6.44
"1095",1095,"Cygep de Saint-Hyacinthe","Associate","Communications technologies/technicians and support services","Data Engineer - Devices Central Engagement",10,"10 years","Northwest Territories",54000,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,"Data Engineer - Devices Central Engagement Northwest Territories","Data Engineer - Devices Central Engagement","Northwest Territories",49500,17,43825,4.68
